subject,question,answer_a,answer_b,answer_c,answer_d,answer,hint
Agency,An agency relationship is created by all of the following except:,agreement.,ratification.,specific performance.,estoppel.,c,"Correct answer is (c). A real estate agency can be created by express agreement, ratification, and estoppel."
Agency,"An agency relationship is said to create a fiduciary relationship between principal and agent. Of the following relationships, which illustrates a fiduciary responsibility?",Any trustee to a beneficiary,Real estate broker to his client,Both (a) and (b),Neither (a) nor (b),c,Correct answer is (c). A trustee is an agent to the beneficiary (the principal). A real estate broker is an agent to his client (the principal).
Agency,"An agency relationship, such as in a listing, may be terminated by all of the following methods except:",resignation of the agency by the real estate broker.,mutual termination by agreement of both the agent and the seller.,destruction of the property with which the agency is concerned.,revocation by the principal if the agent has an interest in the subject matter of the agency.,d,"Correct answer is (d). When the agent has an interest in the subject matter of the agency; for example the broker is a co-owner of the property, the agency cannot be revoked by the principal."
Agency,An agent has only a duty of honesty and fairness in dealing with:,third parties.,principals.,attorneys.,city officials.,a,Correct answer is (a). The agent has an obligation always to act fairly and honestly with third parties.
Agency,An agent who acts exclusively as the agent for the buyer may:,present offers to the seller only,present offers to the seller and seller's agent,present offers to the seller's agent only,is acting illegally,b,Correct answer is (b). An agent who is the exclusive agent for the buyer may present offers to the seller and/or the seller's agent.
Agency,An agent who acts exclusively as the agent for the buyer may:,present offers to the seller only.,present offers to the seller with the seller's agent present.,present offers to the seller's agent only.,is acting illegally.,b,"Correct answer is (b). An agent who is the exclusive agent for the buyer may present offers to the seller with the seller's agent present, unless the seller states otherwise in writing."
Agency,An agent who pays part of the commission to the buyer:,must inform the seller.,is subject to criminal prosecution.,is subject to discipline by the Real Estate Commissioner.,"is subject to a civil lawsuit by the seller, even if he disclosed everything to the seller.",a,Correct answer is (a). An agent may pay part of the commission to the buyer if he informs the seller.
Agency,"Broker Bob collected rents from an apartment house under agreement with the owner. He had been collecting rents on the 1st of each month for several months and as of July 1, he had collected all but one. On July 2 the owner died. On July 3 the broker went to collect the last rental but the tenant refused to give the rent to the broker on the grounds that the owner had died and, therefore, the agency between broker and the owner was terminated. Which of the following is correct?",The tenant is correct,The broker has the right to collect rents until an executor has been appointed,The death of the owner did not terminate the agreement,"Under the law of agency, the broker has the right to continue collecting rents but he must place all monies received in a neutral trust account until the court appoints someone else to collect the rents",a,Correct answer is (a). Agency terminates upon death of either party.
Agency,"Broker Jones had signed an agreement to locate some property for her principal. Having found a property which suited the principal, Broker Jones determined that it could be purchased for less than her principal was willing to pay. She then bought the property and later sold it to her principal at the higher figure and kept the difference for herself. This would be called:",commingling.,conversion.,divided agency.,secret profit.,d,Correct answer is (d). The details of the story do not indicate if fraud was involved in this transaction but certainly secret profit was.
Agency,"Broker Jones secured an agency listing in writing from the Johnson Co. on a commercial building that had been vacant for some months. The listing broker entered into a verbal agreement to share his commission with a cooperating broker. The cooperating broker procured a buyer, but broker Jones refused to split the commission. The cooperating broker:",may recover his share in court.,may not recover his share in court because this was only a verbal agreement.,should ask the Commissioner to arbitrate the dispute.,should go to the Labor Commissioner.,a,"Correct answer is (a). The Statute of Frauds does not require an agreement between brokers to split a commission to be in writing to be enforceable. If the cooperating broker can prove his case, he can recover his share in court."
Agency,"Broker White obtained a deposit from buyer Farley. The seller did not accept the offer, however, and broker would not return deposit. Farley contacted the Real Estate Commissioner. The Commissioner can:",act only as mediator.,investigate as required by real estate law.,not act on this since it involves a real estate license.,not act on this since it involves civil court action.,b,"Correct answer is (b). The law states that, ""The Commissioner... hall, upon the verified complaint in writing of any person, investigate the actions...."""
Agency,"By accepting the actions of an agent, even though there is no contract, a seller may create an agency by:",estoppel.,express agreement.,ratification.,collaboration.,c,Correct answer is (c). Definition: Ratification means acceptance of an act already performed. Ratification of an agency relationship is created by approving acts after they are done.
Agency,California Real Estate Law imposes upon a real estate agent the highest obligation of undivided interest and loyalty to his principal. This relationship is comparable to that of a:,lessee to the lessor.,trustee to the beneficiary.,vendor to the purchaser.,salesman to his or her broker.,b,Correct answer is (b). A fiduciary relationship exists between the agent and his principal. The trustee is the agent and the beneficiary is the principal.
Agency,California Real Estate Law imposes upon a real estate agent the highest obligation of undivided interest and loyalty to his principal. This relationship is comparable to that of:,a lessee to the lessor.,a trustee to his beneficiary.,a vendor to the purchaser.,a salesperson to his broker.,b,Correct answer is (b). A fiduciary relationship exists between the agent and his principal. The trustee is the agent and the beneficiary is the principal.
Agency,Fiduciary applies to the relationships between people in many different positions. It does not apply to which of the following?,Trustor to beneficiary,Attorney-in-fact to principal,Attorney to client,Agent to seller,a,Correct answer is (a). Fiduciary is an agency relationship. Trustor to beneficiary is borrower to lender.
Agency,"If a broker dies after he or she has taken a listing, what happens to the agency relationship it created?",The listing remains in effect until the property is sold.,Another broker from the firm will work with the seller.,The agency immediately terminates.,The agency will terminate when the seller lists the property with another broker.,c,"Correct answer is (c). Incapacity or death of either the client or the broker terminates an agency relationship because agency is a contract for personal services. A listing agreement is a personal services contract in that a licensed real estate broker agrees to provide services for a seller. If the broker were to lose his or her license, the broker would not legally be able to perform under the terms of the listing agreement."
Agency,"In describing an agency contract, which is most nearly correct?",Most multiple listings are exclusive listings,An open listing without a termination date is unenforceable,Often multiple listings are net listings,An exclusive agency need not contain a termination date,a,Correct answer is (a). Multiple listing groups demand exclusive listings.
Agency,"In describing an agency contract, which is most nearly correct?",Most multiple listings are exclusive listings,An open listing without a termination date is unenforceable,Often multiple listings are net listings,An exclusive agency need not contain a termination date,a,"Correct answer is (a). Choice (a) is the most nearly correct answer because most multiple listing groups require exclusive right to sell listings, which is a type of exclusive listing."
Agency,"In regards to a listing contract, a fiduciary relationship exists between the broker and:",the buyer.,the seller.,both buyer and seller.,all of the above,b,Correct answer is (b). The two parties involved in a listing are the broker and owner (seller) and the broker is working in a position of trust (fiduciary) for the seller.
Agency,"Michelle, a real estate broker, sold a condo that was listed by a broker from another company. What is her relationship to the listing broker?",Principal,Third party,Co-agent,Selling broker,d,"Correct answer is (d). It is common that the listing broker will split any commission received with the broker who procures the buyer for the property. The broker who cooperates with the listing broker to procure a buyer is known as the selling broker. The selling broker may be acting as a subagent of the seller, an agent of the listing broker, or may be performing as the exclusive agent of the buyer. (DRE Reference Book, page 159)"
Agency,"Ms. Seller had been showing homes to a young, newly married couple for quite some time and finally found one which they wanted to buy. But even with the best loan available, they did not have enough cash for the down payment. They felt that they could raise the additional money they needed by borrowing against their automobile and other sundry personal property. Under these circumstances, the broker should:",advise against it.,"tell them it is their decision to make, but point out the pitfalls of this kind of financing.",advise them to go ahead because real estate always appreciates in value.,tell them nothing and let them make their own decision.,b,Correct answer is (b). The broker has certain obligations to the buyers but she must be careful not to give legal advise of this importance. To say nothing might imply consent.
Agency,The fiduciary relationship between an agent and the principal is comparable to the relationship of a:,trustor to beneficiary.,mortgagor to mortgagee.,trustor to trustee.,trustee to beneficiary.,d,Correct answer is (d). The trustee is the agent for the beneficiary under a deed of trust.
Agency,The person who gives authority to an agent to represent his or her interests in dealing with a third party is the:,client.,Real Estate Commissioner.,principal.,escrow agent.,c,"Correct answer is (c). A principal is one of the main parties to a transaction (i.e. the buyer and the seller are principals in the purchase of real property). In a fiduciary relationship, the person who hires a real estate broker to represent him or her in the sale of property is a principal."
Agency,The real estate listing is classified as an employment contract under whose terms the owner of the property appoints and authorizes a real estate broker to act as his agent. Which of the following statements is correct?,An owner is liable for a commission if he sells his property himself during the term of an exclusive agency listing,The owner is liable for a suit for specific performance if he refuses a buyer's offer that meets the exact terms of an exclusive right to sell listing,"A broker has an enforceable right to a commission in an open listing if he is the ""procuring cause"" even if the owner sells through another broker","Death terminates an exclusive agency listing, but not an exclusive right to sell listing",c,Correct answer is (c). In an exclusive agency listing the owner maintains the right to sell the property himself. The owner is not liable for a suit for specific performance until he has entered into the purchase contract with the buyer. Death terminates exclusive listings.
Agency,The real estate listing is classified as an employment contract under whose terms the owner of the property appoints and authorizes a real estate broker to act as his agent. Which of the following statements is correct?,An owner is liable for a commission if he sells his property himself during the term of an exclusive agency listing.,The owner is liable for a suit for specific performance if he refuses a buyer's offer that meets the exact terms of an exclusive right to sell listing.,"A broker has an enforceable right to a commission in an open listing if he is the ""procuring cause"" even if the owner sells through another broker.","Death terminates an exclusive agency listing, but not an exclusive right to sell listing.",c,Correct answer is (c). In an exclusive agency listing the owner maintains the right to sell the property himself. The owner is not liable for a suit for specific performance until he has entered into the purchase contract with the buyer. Death terminates exclusive listings.
Agency,The relationship of a real estate salesperson to his or her broker is as:,an employee.,an independent contractor.,a special agent.,either (a) or (b),a,"Correct answer is (a). As far as the Real Estate Law is concerned, a salesperson is an employee of the broker. For IRS purposes, the salesperson usually is an independent contactor."
Agency,The relationship of loyalty and trust that exists between a principal and agent most nearly resembles the relationship between:,broker and salesperson.,trustee and beneficiary.,lessor and lessee.,optionor and optionee.,b,Correct answer is (b). The trustee holds the title in trust for the benefit of the beneficiary.
Agency,To which of the following does a real estate agent owe a fiduciary duty?,Third party,Principal,Escrow agent,Customer,b,Correct answer is (b). The agent owes the principal certain fiduciary duties.
Agency,"Under Article 3, Section 10176, of the California Real Estate Law, a broker could not be disciplined for which of the following?",Acting for more than one party in a transaction with the knowledge and consent of all parties thereto,Making any substantial misrepresentation,Making any false promises of a character likely to influence,Any conduct whether of a same or different character than specified in this Section which constitutes fraud,a,"Correct answer is (a). The Real Estate Code permits a broker to act for two parties, provided he has advised both and received their consent."
Agency,What event does not terminate (or dissolve)an agency?,Death of listing agent (not broker),Full performance,Expiration of term,Destruction of listed property,a,"Correct answer is (a). Since the broker owns the listing, only the death of the listing broker, not the listing agent, would terminate the listing."
Agency,What event does not terminate an agency?,Death of listing agent (not broker),Full performance,Expiration of term,Destruction of listed property,a,"Correct answer is (a). Since the broker owns the listing, only the death of the listing broker, not the listing agent, would terminate the listing."
Agency,What kind of agency is a listing?,A special agency,A general agency,An executive agency,A dual agency,a,Correct answer is (a). A special agency is called upon to perform a specific task such as listing (a contract between an owner of real property and an agent who is authorized to obtain a buyer).
Agency,"When a broker is representing the buyer exclusively under a buyer agency contract, which of the following is true?",The buyer's broker has no liability for acts of the listing broker,The buyer's broker is responsible for his own and the listing broker's acts,The buyer's broker has a fiduciary duty to the buyer and seller,The buyer's broker must represent both parties,a,"Correct answer is (a). The buyer's broker owes a fiduciary duty to his principal, the buyer, only."
Agency,"When a real estate agent acts as a dual agent for both the buyer and seller in a 1031 exchange, and does not disclose his dual agency to both parties, he may:",provide grounds for either party to rescind the purchase agreement.,be prevented from receiving any commission.,be disciplined by the Real Estate Commissioner.,any of the above,d,"Correct answer is (d). Agents must obtain the knowledge and consent of both parties to act as dual agent. Failure to do so may result in any or all of the choices in (a), (b), and (c)."
Agency,"When a real estate agent acts exclusively as a buyer's agent, he can do all of the following except:",present offers directly to the seller.,present offers to the seller and seller's agent.,withhold confidential information about the buyer from the seller.,act as an exclusive agent of the seller.,d,"Correct answer is (d). When the licensee is the exclusive agent of the buyer, he may not be the exclusive agent for the seller."
Agency,"When acting as a listing agent, a real estate broker is liable to third parties for:",only written contracts made in the name of his or her principal.,actions of a cooperating broker who is the authorized subagent of the seller.,his or her own torts.,torts committed by his or her principal in the transaction.,c,"Correct answer is (c). The acts, errors and/or omissions (negligence) of a cooperating broker who is the authorized subagent of the seller may be imputed to the seller. Equally, when the cooperating broker is not the authorized subagent of the seller, but rather the authorized agent or subagent of the listing broker, the negligent acts of the cooperating broker may be imputed to the listing broker and the listing broker may be subject to liability to third parties under the legal theory of respondeat superior. [DRE, Chapter 10, page 168]"
Agency,"When may a real estate broker, acting as agent for the seller, refuse to submit a buyer's offer?",When the owner has already accepted an offer,When the owner has already accepted a better offer,When the owner has given broker express instructions not to submit any further offers,"Never, all offers must be presented",c,Correct answer is (c). A broker must present all offers unless they are frivolous or unless seller has expressly instructed broker to submit no further offers.
Agency,Which of the following forms must be completed before an offer can be written?,Agency disclosure,Deposit receipt,Real estate transfer disclosure,Listing,a,"Correct answer is (a). The law requires that an agent supply a written document, called Disclosure Regarding Real Estate Agency Relationships, explaining the nature of agency. This disclosure must be made prior to taking a listing or writing an offer."
Agency,Which of the following is closest to the same relationship as between a broker and seller:,trustee and beneficiary.,broker and salesman.,mortgagor and mortgagee.,vendor and vendee.,a,Correct answer is (a). A broker is the agent and the seller is the principal he works for. A trustee is also an agent who works for the beneficiary who is the principal. Broker--salesman is employer--employee relationship. Mortgagor and mortgagee is borrower--lender relationship. Vendor--vendee is seller--buyer.
Agency,Which of the following is closest to the same relationship as between a broker and seller?,Trustee and beneficiary,Broker and salesperson,Mortgagor and mortgagee,Vendor and vendee,a,Correct answer is (a). A broker is the agent and the seller is the principal he works for. A trustee is also an agent who works for a beneficiary (the principal). Broker-salesperson (employer-employee relationship); mortgagor-mortgagee (borrower-lender relationship); vendor-vendee (seller-buyer relationship).
Agency,Which of the following is not essential to the creation of an agency relationship?,Consent of the principal,Competency of the principal,A fiduciary relationship,Agreement to pay consideration,d,Correct answer is (d). Agency does not require consideration. A broker could act as an agent without getting paid.
Agency,Which of the following is not required of a licensee under the current agency disclosure law?,Disclosure,Election,Confirmation,Representation,d,"Correct answer is (d). The three steps required under the agency disclosure law are: disclose, elect, and confirm."
Agency,Which of the following is true of a buyer's agent?,They are illegal in California,They are not entitled to a commission,They do not form an agency relationship,Compensation may not necessarily come from the buyer,d,Correct answer is (d). An executed sale would make the buyer's agent now the procuring cause and now will be referred to as the selling agent. Commission is distributed through listing agreement with seller.
Agency,Which of the following would not be essential in order to create an agency relationship?,A fiduciary relationship,The agreement of the party to the agency,An agreement to pay commission,A competent principal,c,Correct answer is (c). Definition of what is Agency.
Contracts,"""A"" enters into an agreement to sell a property to ""B."" ""A"" deposits a grant deed naming ""B"" as grantee in escrow. Escrow is closed and the deed delivered to ""B."" ""A"" and ""B"" then decided to rescind the sale. What is the proper procedure to be followed to effect the rescission?","""B"" should endorse the deed and return it to ""A""","""B"" should reopen escrow and have the deed certified as ""canceled"" and have the escrow redeliver it to ""A""","""B"" need only destroy the deed after return of his consideration",None of the above,d,"Correct answer is (d). When using escrow, the escrow does not close, nor title transfer, until the new deed is recorded. Once a deed is recorded a new deed is required for conveyance. ""B"" would actually have to sell the property back to ""A."""
Contracts,"""Laches"" deals with which of the following?",Mechanic's lien,Construction,Unnecessary delay,Tax evasion,c,"Correct answer is (c). Definition answer for the word ""laches."""
Contracts,A bilateral contract is one that is a(n):,promise for performance.,promise for an act.,act for a promise.,promise for a promise.,d,"Correct answer is (d). A bilateral (two-sided) agreement contains a promise for a promise. For example, an exclusive authorization and right to sell listing (a bilateral agreement) contains the owner's promise to pay a commission if the property sells during the listing period. In exchange for this promise, the broker promises to use due diligence in procuring a buyer for the property."
Contracts,"A broker has an option to purchase in an agreement which also employs the broker to sell the parcel of real property and to obtain a commission from the sale. Before the broker can legally exercise the option, he must:",make a public notice of his intention to exercise the option.,put the necessary funds in escrow.,obtain the written consent of the seller.,give constructive notice to the seller.,c,"Correct answer is (c). An option listing gives the broker the right to purchase the property that is listed. A broker with an option is acting as a principal as well as an agent. Prior to exercising the option, the seller must be informed for the full amount of the broker's profit and agree to it in writing."
Contracts,A broker is preparing a deposit receipt. Which of the following can be disregarded for the moment and be decided during the escrow period?,Manner of payment of assessment bonds,Manner of taking title,Proof of title insurance,Financing arrangements,b,"Correct answer is (b). Answers (a), (c), and (d) must be decided before escrow."
Contracts,A broker is preparing a deposit receipt. Which of the following can be disregarded for the moment and be decided during the escrow period?,Manner of payment of assessment bonds,Manner of taking title,Payment of title insurance,Financing arrangements,b,"Correct answer is (b). Answers (a), (c), and (d) must be decided before escrow."
Contracts,"A broker received an earnest money check made out to ""Best Escrow"" from the buyer that was to be held uncashed until the offer was accepted. The broker was unable to present the buyer's offer because the seller was out of town for the day. What should the broker do with the check?",Deposit the check in the broker's account,Open escrow and deposit the check,Hold the check uncashed and wait for the seller to return to present the offer,Return the check to the buyer,c,"Correct answer is (c). Since the seller has not accepted or rejected the buyer's offer, the broker should hold the check uncashed until he can present the offer to the seller."
Contracts,"A broker took a listing for 90 days. During the term of the listing, the owner was declared mentally incompetent. The listing contract is:",void.,binding.,enforceable.,voidable.,a,Correct answer is (a). Incapacity on the part of either of the parties to an employment contract will make it void.
Contracts,"A broker, who has a listing together with an option on a property, wants to exercise the option and sell the property himself. Which of the following is true?",He is an optionor,He is an agent,This is permissible providing he gives notice to the parties that he holds an option and states to the owner how much profit he is to receive,This is not permissible since it violates his fiduciary relationship,c,"Correct answer is (c). The broker may take an option along with the listing, provided he divulges his profit and advises the owner in writing prior to exercising the option."
Contracts,A buyer and seller initial the liquidated damages clause in a deposit receipt and then the buyer defaults. The deposit is:,given to the seller when escrow opens.,limited to 3% of the selling price.,divided equally between the seller and the listing agent.,used to pay any costs incurred and then returned to the buyer.,c,"Correct answer is (c). The standard deposit receipt provides that if buyer defaults, seller and agent shall split whatever seller actually recovers from the buyer, but never to exceed the agreed upon commission. Since buyer initialed liquidated damages, seller should recover the deposit and split it with the agent."
Contracts,A buyer and seller initial the liquidated damages clause in a deposit receipt and then the buyer defaults. The deposit is:,given to the seller when escrow opens.,limited to 3% of the purchase price.,divided equally between the seller and the listing agent.,used to pay any costs incurred and then returned to the buyer.,b,"Correct answer is (b). The purchase agreement, or sales contract, usually contains a printed clause that says the seller may keep the deposit as liquidated damages if the buyer backs out without good reason. In the event the buyer defaults on the contract, the liquidated damages cannot exceed 3% of the purchase price if the property is a single-family residence. In order for this clause to be included as an obligation, it must be initialed by the buyer and seller."
Contracts,A buyer asks an agent to hold a deposit check for 30 days. The agent should:,refuse.,advise buyer check must be deposited by the next day.,accept the check and advise the seller that the buyer requests the hold.,accept and allow the seller to decide what to do.,c,"Correct answer is (c). It is up to the agent to advise the seller on all matters, but it is up to the seller to make the decision if a 30 day hold is acceptable."
Contracts,A buyer must bring a lawsuit for breach of written contract against a seller within:,6 months.,1 year.,3 years.,4 years.,d,Correct answer is (d). The Statute of Limitations requires lawsuits for breach of a written contract to be filed within four years of the breach.
Contracts,"A buyer signs a deposit receipt on February 5. The offer will expire at 5:00 pm on the 5th day after the buyer signed the offer. Therefore, the offer is good until 5:00 pm:",February 8.,February 9.,February 10.,February 11.,b,Correct answer is (b). The day it is dated counts as the first day: 5 - 6 - 7 - 8 - 9th.
Contracts,"A contract between the seller of real property and a licensee whereby the seller agrees to pay the licensee a commission if he produces a ""ready, willing, and able"" buyer and the licensee agrees to use due diligence in procuring a buyer, is called:",unilateral executory contract.,bilateral executory contract.,unilateral executed contract.,bilateral executed contract.,b,Correct answer is (b). A bilateral contract is a contract between two parties with each promising to act (a promise for a promise). An executory contract is a contract yet to be performed. This type of contract is a bilateral executory contract. An executed contract is one that has been completed.
Contracts,A contract created under duress is:,invalid.,voidable.,unenforceable.,void.,b,"Correct answer is (b). Capable of being void or valid. However, only the innocent party has the right to use duress as a defense to the contract and have it voided."
Contracts,A contract has been executed when it has been:,"signed, notarized and recorded.",entered into under the jurisdiction of the probate court.,completely and fully performed.,signed under threat of death.,c,Correct answer is (c). A contract has been executed when it has been completely and fully performed.
Contracts,"A contract is defined as a deliberate agreement between competent parties, upon legal consideration, to do or not to do some legal act. All of the following are correct statements concerning contracts except:",an offer and valid acceptance are essential to a binding real estate contract.,a contract signed by an unmarried 18-year-old may be valid.,an agreement for the sale of real property to be used expressly for an illegal purpose is void.,a real estate contract signed on Sunday is voidable.,d,"Correct answer is (d). In order for a contract to be legally binding and enforceable, there are four requirements: 1) legally competent parties, 2) mutual consent between the parties, 3) lawful objective, and 4) sufficient consideration."
Contracts,"A contract is defined as a deliberate agreement between competent parties, upon legal consideration, to do or not to do some legal act. All of the following are correct statements concerning contracts except:",an offer and valid acceptance are essential to a binding real estate contract.,a contract signed by an unmarried 18-year-old may be valid.,an agreement for the sale of real property to be used expressly for an illegal purpose is void.,a real estate contract signed on Sunday is voidable.,d,"Correct answer is (d). In order for a contract to be legally binding and enforceable, there are four requirements:1) legally competent parties, 2) mutual consent between the parties, 3) lawful objective, and 4) sufficient consideration."
Contracts,A contract need not be in writing to be enforceable under the law. A verbal contract is called:,void.,parol contract.,expressed contract.,none of the above.,b,Correct answer is (b). A verbal contract is called a parol contract.
Contracts,A contract need not be in writing to be enforceable under the law. A verbal contract is called:,void.,a parol contract.,a prescriptive contract.,none of the above.,b,"Correct answer is (b). The word ""parol"" means verbal; therefore, a verbal contract is called a parol contract."
Contracts,A contract obtained by duress is:,void.,invalid.,valid.,voidable.,d,"Correct answer is (d). Definition: A contract entered into under duress is not enforceable against the forced party, and is voidable."
Contracts,"A contract obtained through duress, is:",good.,voidable.,void.,unenforceable.,b,"Correct answer is (b). The injured party has the option to void the contract; therefore, it is voidable."
Contracts,A counteroffer is:,an immediate acceptance of an original purchase offer.,the rejection of an original purchase offer.,the acceptance of an original purchase offer and the submission of a new and different offer.,the rejection of an original purchase offer and the submission of a new and different offer.,d,"Correct answer is (d). In a real estate transaction, a counteroffer is the rejection of an original purchase offer and the submission of a new and different offer."
Contracts,"A husband and wife have been searching for a new home. One day when the husband was at work, his wife learns that a new listing has appeared on the MLS. Her agent calls her and urges her to come see it ASAP. She goes to view the property, without her husband, loves the house but cannot reach her husband at work to sign an offer on the home. If the seller accepts the offer, the contract is:",void.,voidable.,invalid.,valid.,d,"Correct answer is (d). The community property system views marriage as an economic partnership between husband and wife in which the contributions of each are valued equally. In general, the earnings of either spouse during marriage, and all proceeds from those earnings, are deemed community property. During the marriage, the spouses have equal rights to use and control the community property. Therefore, one wife can use community property assets to purchase the home. However, if the husband's signature is required to sell or transfer the property."
Contracts,"A husband and wife have been searching for a new home. One day when the husband was at work, his wife learns that a new listing has appeared on the MLS. Her agent calls her and urges her to come see it ASAP. She goes to view the property, without her husband, loves the house but cannot reach her husband at work to sign an offer on the home. If the seller accepts the offer, the contract is:",void.,voidable.,invalid.,valid.,d,"Correct answer is (d). The community property system views marriage as an economic partnership between husband and wife in which the contributions of each are valued equally. In general, the earnings of either spouse during marriage, and all proceeds from those earnings, aredeemed community property. During the marriage, the spouses have equal rights to use and control the community property. Therefore, one wife can use community property assets to purchase the home. However, if the husband's signature is required to sell or transfer the property."
Contracts,"A husband and wife owned their home as joint tenants. The husband signed an exclusive authorization and right to sell listing agreement with a broker without disclosing the manner of title holding in the property and without his wife's signature on the listing. In the event of a commission dispute, the broker:",may bring action to force the wife to sell her interest.,may sue the husband separately in civil court for his commission.,has no right to a commission because he failed to obtain the wife's signature on the listing.,may bring court action against the community estate.,d,Correct answer is (d). The husband binds the community as statutory manager when he fails to disclose the joint tenancy holding.
Contracts,"A lease that specifies that the lessee is to pay the real estate property taxes and the insurance cost, as well as the rent, is called:",specific lease.,sandwich lease.,net lease.,percentage lease.,c,"Correct answer is (c). Leases are classified by method of rent payments, such as gross, net, and percentage leases. In a net lease, the tenant pays an agreed-upon sum as rent, plus certain agreed-upon expenses per month (i.e. taxes, insurance and repairs)."
Contracts,A lease to a lessee is comparable to that of:,a deed of trust to a trustee.,an affiant to a deponent.,a land contract to the vendee.,a mortgage to a mortgagee.,c,Correct answer is (c). A lease gives the lessee the right of possession and use of the property. Under a land contract the buyer also receives use and possession together with an additional right of future title.
Contracts,"A lessor and lessee agree to the terms and the lessor draws up a 5-year lease, signs it, and mails it to the lessee. Lessee does not sign it, but moves in and pays 2 months' rent. After 2 months, lessee decides to move out and informs lessor. Which of the following is true?",There is an invalid lease as only the lessor has to sign,"There is a valid lease, as lessee had moved in and paid 2 months' rent","The lease is invalid, as the Statute of Frauds states that a lease for more than one year must be in writing and signed by both the lessor and lessee",The lease is invalid as there is no contract to enforce,b,Correct answer is (b). Lessee does not have to sign the lease as long as he pays rent in advance or takes possession of the premises.
Contracts,"A lessor and lessee agree to the terms and the lessor draws up a 5-year lease, signs it, and mails it to the lessee. The lessee does not sign it, but moves in and pays 2 months' rent. After 2 months, the lessee decides to move out and informs the lessor. Which of the following is true?",There is a valid lease as only the lessor has to sign,There is a valid lease as lessee had moved in and paid 2 months' rent,"The lease is invalid, as the Statute of Frauds states that a lease for more than 1 year must be in writing and signed by both the lessor and lessee",The lease is invalid as there is no contract to enforce,b,Correct answer is (b). Lessee does not have to sign the lease to be bound to it as long as he either takes possession or pays rent in advance.
Contracts,"A licensed real estate broker is successful in securing a buyer for a property who is ready, willing, and able to buy. The offer is accepted and signed by both parties and escrow is opened. During the escrow period, the title company discovers that the seller is a single minor under the age of 18 and notifies the broker and the escrow holder. Under these circumstances the contract is:",valid.,unenforceable.,voidable.,outlawed.,c,"Correct answer is (c). A contract made by a minor is considered voidable by the minor. A minor can only void a contract during his minority status and only for a reasonable time after he reaches the age of majority. After a reasonable period of time, the contract is deemed to be ratified and cannot be voided."
Contracts,A licensee sells property to a young married couple and later learns they are both 17 years of age. This transaction could best be described as:,void.,voidable.,illegal.,valid.,d,Correct answer is (d). Married persons under the age of eighteen are considered emancipated minors.
Contracts,A licensee sells property to a young married couple and later learns they are both 17 years of age. This transaction could best be described as:,void.,voidable.,illegal.,valid.,d,Correct answer is (d). Married persons under the age of 18 are considered emancipated minors.
